data;
set A := 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100;
param p := 14;
param dist: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100:=
1	101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 2 101 0 101 101 101 101 101 101 101 101 101 101 101 4 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 1 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 0 101 101 101 1 101 101 101 101 101 101 101 101 101 101 0 101 3 2 3 
2	101 101 101 101 101 101 101 101 101 0 101 101 101 101 101 101 101 101 101 1 101 101 101 101 101 101 101 101 2 101 101 0 3 101 101 101 101 101 101 101 101 101 2 101 101 4 3 101 101 3 101 101 101 101 101 101 101 101 101 1 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 
3	101 101 101 101 101 101 101 101 101 101 101 101 101 0 0 101 101 101 101 101 101 101 101 2 4 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 4 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 0 101 101 101 101 101 101 101 101 101 101 101 0 101 101 2 0 3 101 101 101 101 101 101 101 101 
4	101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 4 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 3 101 2 101 101 101 101 101 4 0 101 101 101 101 101 0 101 101 2 101 4 4 101 101 101 101 3 101 101 101 101 101 101 
5	101 101 101 101 101 101 101 101 101 101 4 101 101 101 101 101 2 101 101 101 101 101 101 101 4 101 101 0 101 101 101 101 101 101 101 101 101 101 101 101 101 101 4 101 101 101 101 101 101 101 101 1 1 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 1 101 101 101 101 101 101 101 1 101 101 101 4 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 
6	2 101 101 101 0 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 3 101 0 101 101 101 101 101 101 101 101 101 2 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 2 101 0 101 101 101 101 4 101 101 101 0 101 101 101 101 101 2 101 101 101 101 101 101 101 101 101 101 101 
7	101 101 101 101 101 101 101 101 101 101 101 2 101 101 101 101 0 101 101 101 101 101 101 101 101 101 0 101 101 101 4 101 101 101 101 101 101 101 101 101 101 101 101 101 101 1 101 3 101 1 101 101 101 4 101 101 101 101 4 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 4 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 
8	2 101 101 101 101 101 101 2 1 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 2 101 101 101 2 101 101 101 101 101 101 0 101 101 101 101 101 101 101 101 101 101 0 101 101 101 101 3 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 4 101 101 101 3 101 101 101 101 101 101 101 101 101 101 101 101 
9	101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 4 1 101 101 1 101 101 101 101 101 101 101 101 101 101 101 0 101 101 101 101 101 101 101 101 101 101 101 101 3 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 1 101 101 101 101 101 101 101 2 101 101 0 101 2 101 101 101 2 101 101 101 101 101 101 101 
10	101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 4 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 1 101 101 1 101 3 101 101 2 1 101 101 101 4 101 2 101 2 101 101 0 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 
11	4 101 101 0 101 101 101 101 101 101 101 101 101 2 101 0 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 3 101 101 4 101 101 101 101 101 101 101 1 101 101 101 101 101 101 101 101 101 101 101 1 101 101 101 101 101 101 101 1 101 101 2 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 
12	101 101 101 101 101 101 101 101 101 101 101 101 1 101 101 3 101 101 101 101 3 101 101 101 101 101 101 101 2 2 3 101 101 101 101 2 101 101 3 101 101 101 101 1 101 101 101 101 1 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 
13	101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 3 101 101 101 101 101 101 101 101 4 101 101 4 101 101 101 101 101 101 101 101 101 101 101 101 2 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 0 101 101 101 101 101 101 101 101 101 1 101 101 3 1 0 3 
14	101 101 101 2 101 101 101 0 101 101 101 101 101 101 101 101 101 0 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 1 101 101 101 101 0 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 3 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 2 1 101 101 101 3 101 4 101 101 101 101 101 101 101 101 101 101 101 101 101 
15	101 101 101 101 101 101 101 101 101 101 101 101 101 101 4 101 101 101 101 101 101 101 101 1 101 1 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 2 101 101 101 1 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 1 101 101 101 101 1 101 0 2 101 2 
16	101 101 101 101 101 101 101 4 101 101 101 101 101 101 2 4 101 101 2 101 101 101 101 101 101 101 101 101 101 101 3 101 101 1 101 101 101 1 0 101 101 101 4 101 101 101 101 101 101 101 101 101 1 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 
17	101 101 101 101 101 101 101 101 101 2 101 101 101 101 101 101 101 101 101 101 101 101 1 101 101 4 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 1 101 101 101 101 101 101 0 101 101 101 101 101 101 3 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 0 4 1 101 101 0 
18	101 101 101 101 101 101 101 1 101 101 101 101 101 101 101 101 101 2 101 101 101 101 101 101 3 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 3 101 101 101 101 101 0 101 101 101 101 3 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 101 0 101 101 101 1 101 101 101 1 4 101 101 101 101 101 101 101 
